Precinct,CountQ1,CountQ2,total
1,1,1,2
5,2,2,4
6,2,5,7
7,4,1,5
9,2,5,7
10,2,0,2
13,4,6,10
14,4,5,9
17,0,0,0
18,5,1,6
19,1,0,1
20,0,1,1
22,0,2,2
23,8,3,11
24,2,5,7
25,3,9,12
26,4,5,9
28,2,3,5
30,2,16,18
32,22,3,25
33,3,10,13
34,16,16,32
40,21,11,32
41,11,11,22
42,11,10,21
43,17,13,30
44,34,1,35
45,5,5,10
46,20,5,25
47,24,5,29
48,6,5,11
49,3,4,7
50,4,14,18
52,26,15,41
60,10,3,13
61,1,1,2
62,3,4,7
63,2,0,2
66,0,16,16
67,17,2,19
68,4,3,7
69,8,5,13
70,5,6,11
71,19,4,23
72,3,11,14
73,23,12,35
75,19,11,30
76,9,7,16
77,3,1,4
78,3,15,18
79,9,7,16
81,10,2,12
83,1,4,5
84,5,1,6
88,2,2,4
90,5,0,5
94,0,9,9
100,5,5,10
101,3,1,4
102,4,18,22
103,27,9,36
104,3,13,16
105,11,2,13
106,3,1,4
107,2,4,6
108,5,6,11
109,6,8,14
110,12,0,12
111,1,1,2
112,1,18,19
113,20,11,31
114,23,8,31
115,9,18,27
120,31,4,35
121,2,4,6
122,4,0,4
123,2,0,2
0,606,455,1061
